Rank,Projection Score,PositionComposite,AgeMultiplier,LeagueMultiplier,Player,Nation,Pos,Squad,25/26 Lg,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Fls,Fld,Off,Crs,Int,TklW,Accurate passes per 90,Chances Created
73,27.6,35.9,1.0,1.05,Fabio Baldé,Portugal,FW,Hamburger SV,Bundesliga,21,2005,16,3,448,5.0,1,1,2,1,0,0,1,0,4.0,2.0,0.0,16.0,1.0,7.0,16.0,5.0
74,27.2,40.0,1.0,1.05,Filippo Mane,Italy,CB,Dortmund,Bundesliga,21,2005,4,2,131,1.5,0,0,0,0,0,0,0,1,1.0,2.0,0.0,1.0,2.0,0.0,42.3,6.0
75,26.2,30.4,1.15,1.05,Patrice Čović,Croatia,MF,Werder Bremen,Bundesliga,19,2007,15,2,351,3.9,1,0,1,1,0,0,1,0,6.0,2.0,0.0,7.0,4.0,6.0,32.3,3.0
76,25.9,33.4,1.15,1.05,Axel Tapé,France,CB,Leverkusen,Bundesliga,19,2007,6,2,222,2.5,0,0,0,0,0,0,1,0,7.0,7.0,0.0,0.0,1.0,1.0,42.3,6.0
77,25.6,28.0,1.225,1.05,Wael Mohya,Germany,MF,Gladbach,Bundesliga,18,2008,15,6,552,6.1,2,1,3,2,0,0,1,0,4.0,13.0,0.0,8.0,2.0,7.0,32.3,4.0
78,25.6,40.6,0.975,0.7,Mika Baur,Germany,MF,Paderborn,2 Lg,22,2004,33,32,2656,29.5,4,5,9,3,1,1,5,0,35.0,18.0,3.0,121.0,36.0,31.0,43.4,48.0
79,25.4,30.9,1.225,1.05,Samuele Inácio,Italy,MF,Dortmund,Bundesliga,18,2008,7,4,384,4.3,1,0,1,1,0,0,2,0,7.0,10.0,0.0,11.0,2.0,2.0,32.3,8.0
80,25.4,32.9,1.15,1.05,Fynn Schenten,Germany,FW,Köln,Bundesliga,19,2007,7,1,100,1.1,0,0,0,0,0,0,0,0,2.0,0.0,0.0,3.0,0.0,0.0,16.0,1.0
81,25.3,28.6,0.975,1.05,Carney Chukwuemeka,Austria,MF,Dortmund,Bundesliga,22,2003,28,8,919,10.2,2,0,2,2,0,0,2,0,11.0,15.0,0.0,1.0,6.0,15.0,32.3,11.0
82,24.7,30.2,1.05,1.05,Tidiam Gomis,France,FW,RB Leipzig,Bundesliga,20,2006,18,2,348,3.9,1,0,1,1,0,0,1,0,4.0,3.0,3.0,6.0,0.0,2.0,23.8,2.0
83,24.7,29.3,0.975,1.05,Hugo Larsson,Sweden,MF,Frankfurt,Bundesliga,22,2004,25,21,1812,20.1,2,2,4,2,0,0,0,0,7.0,2.0,0.0,9.0,27.0,9.0,44.2,19.0
84,24.3,34.9,0.975,1.05,Brajan Gruda,Germany,MF,RB Leipzig,Bundesliga,22,2004,13,8,753,8.4,3,3,6,3,0,0,1,0,10.0,12.0,1.0,25.0,0.0,8.0,21.9,17.0
85,24.2,45.8,1.15,0.7,Otto Stange,Germany,FW,SV Elversberg,2 Lg,19,2007,11,0,190,2.1,3,2,5,2,1,2,3,0,7.0,5.0,2.0,5.0,3.0,1.0,16.0,1.0
86,24.1,33.8,1.0,1.05,Jovan Milošević,Serbia,FW,Stuttgart,Bundesliga,21,2005,13,5,488,5.4,3,1,4,3,0,0,2,0,8.0,3.0,6.0,3.0,0.0,2.0,16.0,3.0
87,24.1,26.2,1.025,1.05,Mert Kömür,Germany,MF,Augsburg,Bundesliga,21,2005,28,17,1464,16.3,2,4,6,2,0,0,1,0,26.0,18.0,2.0,60.0,8.0,13.0,22.7,23.0
88,23.9,24.2,1.225,0.85,Nathan De Cat,Belgium,MF,Hoffenheim,BEL First Division,18,2008,36,34,2725,30.3,2,4,6,2,0,0,8,0,47.0,34.0,3.0,19.0,35.0,32.0,26.8,28.0
89,23.9,28.9,1.05,1.05,Assan Ouédraogo,Germany,MF,RB Leipzig,Bundesliga,20,2006,19,13,948,10.5,4,3,7,4,0,0,0,0,4.0,22.0,1.0,4.0,3.0,6.0,23.3,14.0
90,23.7,39.8,0.9,1.05,Younes Ebnoutalib,Germany,FW,Frankfurt,Bundesliga,23,2003,5,2,133,1.5,1,0,1,1,0,0,0,0,2.0,2.0,0.0,0.0,1.0,0.0,8.1,2.0
91,23.6,31.0,1.15,1.05,Felipe Chávez,Peru,MF,Bayern Munich,Bundesliga,19,2007,9,0,116,1.3,0,0,0,0,0,0,0,0,1.0,1.0,0.0,2.0,2.0,2.0,32.3,1.0
92,23.0,26.7,1.025,1.05,Oscar Højlund,Denmark,MF,Frankfurt,Bundesliga,21,2005,24,12,1089,12.1,1,1,2,1,0,0,4,1,27.0,5.0,1.0,2.0,7.0,17.0,41.7,7.0
93,22.9,38.8,0.95,0.85,Tim Oermann,Germany,CB,Leverkusen,Aut Bundesliga,22,2003,18,18,1376,15.3,0,1,1,0,0,0,2,0,10.0,8.0,0.0,11.0,10.0,15.0,42.3,5.0
94,22.7,27.0,1.0,1.05,Nelson Weiper,Germany,FW,Mainz 05,Bundesliga,21,2005,24,3,558,6.2,0,0,0,0,0,0,1,0,6.0,3.0,6.0,6.0,3.0,2.0,14.5,6.0
95,22.5,29.3,1.15,1.05,Otto Stange,Germany,FW,Hamburger SV,Bundesliga,19,2007,10,2,293,3.3,0,0,0,0,0,0,0,0,5.0,6.0,0.0,6.0,0.0,3.0,16.0,1.0
96,22.3,48.4,1.0,0.7,Kennedy Okpala,Germany,FW,Paderborn,2 Lg,21,2004,12,2,303,3.4,1,0,1,1,0,0,4,0,18.0,18.0,3.0,11.0,2.0,2.0,16.0,3.0
97,21.7,33.3,1.0,1.05,Aboubaka Soumahoro,France,CB,Hamburger SV,Bundesliga,21,2005,4,2,136,1.5,0,0,0,0,0,0,1,0,3.0,0.0,1.0,1.0,0.0,0.0,42.3,1.0
98,20.4,30.4,1.025,1.05,Eliesse Ben Seghir,Morocco,MF,Leverkusen,Bundesliga,21,2005,10,2,252,2.8,0,0,0,0,0,0,2,0,3.0,10.0,0.0,9.0,1.0,2.0,37.7,5.0
99,19.6,36.4,0.95,0.7,Stefano Marino,Germany,FW,Paderborn,2 Lg,22,2004,27,14,1188,13.2,6,1,7,6,0,0,1,0,19.0,26.0,5.0,8.0,3.0,5.0,12.4,6.0
100,18.9,28.7,1.025,1.05,Cyriaque Irié,Burkina Faso,MF,Freiburg,Bundesliga,21,2005,10,3,347,3.9,0,0,0,0,0,0,3,0,11.0,8.0,5.0,3.0,3.0,6.0,32.3,4.0
101,18.6,27.6,1.05,1.05,Youssoupha Niang,Germany,MF,Köln,Bundesliga,20,2006,10,2,194,2.2,0,0,0,0,0,0,0,0,6.0,4.0,0.0,2.0,0.0,1.0,32.3,3.0
102,18.5,21.7,0.975,1.05,Aljoscha Kemlein,Germany,MF,Union Berlin,Bundesliga,22,2004,30,23,1959,21.8,0,2,2,0,0,0,4,0,22.0,11.0,0.0,9.0,18.0,25.0,33.9,14.0
103,17.4,27.4,1.025,0.7,Laurin Ulrich,Germany,MF,Stuttgart,2 Lg,21,2005,36,32,2671,29.7,3,3,6,3,0,0,3,0,28.0,74.0,0.0,29.0,17.0,29.0,24.7,50.0
104,17.1,40.8,1.0,0.7,Raif Adam,Germany,FW,SV Elversberg,2 Lg,21,2005,10,0,76,0.3,1,0,1,1,0,0,0,0,2.0,0.0,2.0,1.0,1.0,0.0,16.0,1.0
105,17.0,24.6,1.025,1.05,Badredine Bouanani,Algeria,MF,Stuttgart,Bundesliga,21,2004,14,5,463,5.1,0,0,0,0,0,0,1,0,1.0,6.0,1.0,26.0,4.0,3.0,32.3,5.0
106,16.9,35.8,1.15,0.6,Ayodele Thomas,Netherlands,FW,RB Leipzig,Eerste Divisie,19,2007,18,18,1454,16.2,3,2,5,3,0,0,5,0,20.0,40.0,6.0,25.0,6.0,14.0,16.0,6.0
107,16.6,25.3,1.05,1.05,Kenny Quetant,France,FW,Werder Bremen,Ligue 1,20,2006,10,4,372,4.1,1,0,1,1,0,0,1,0,6.0,3.0,4.0,1.0,1.0,0.0,16.0,1.0
108,16.4,26.6,1.05,0.7,Noel Aseko,Greece,MF,Frankfurt,2 Lg,20,2005,33,31,2363,26.3,3,5,8,3,0,0,8,0,61.0,57.0,5.0,23.0,27.0,33.0,19.2,32.0
109,16.3,47.3,1.05,0.5,Oluwaseun Ogbemudia,Germany,CB,Union Berlin,3 Lg,20,2006,16,13,1166,13.0,0,1,1,0,0,0,4,0,11.5,8.5,0.0,3.5,18.0,15.5,42.3,9.0
110,16.1,26.9,1.025,0.7,Kofi Amoako,Germany,MF,Hamburger SV,2 Lg,21,2005,33,29,2205,24.5,1,1,2,1,0,0,6,0,33.0,24.0,3.0,20.0,22.0,42.0,31.5,23.0
111,15.9,34.2,1.05,0.5,Deniz Zeitler,Germany,FW,Paderborn,3 Lg,20,2006,38,37,3014,33.5,15,2,17,13,2,2,2,0,13.0,10.0,4.0,6.0,2.0,5.0,13.6,28.0
112,15.3,34.6,1.025,0.6,Paul Okon-Engstler,Australia,MF,Köln,A-League,21,2005,23,22,1933,21.5,0,2,2,0,0,0,6,0,33.0,35.0,1.0,8.0,26.0,34.0,54.8,14.0
113,14.7,41.3,1.0,0.5,Sean Dulic,Germany,CB,Hoffenheim,3 Lg,21,2005,23,22,1958,21.8,1,2,3,1,0,0,3,0,11.5,8.5,0.0,3.5,18.0,15.5,45.7,9.0
114,14.6,29.1,1.025,0.7,Ruben Müller,Germany,MF,Paderborn,2 Lg,21,2005,22,13,1050,11.7,0,2,2,0,0,0,3,0,14.0,23.0,2.0,3.0,8.0,7.0,31.4,20.0
115,13.7,21.6,1.0,1.05,Rodrigo Ribeiro,Portugal,FW,Augsburg,Bundesliga,21,2005,14,6,636,7.1,2,0,2,2,0,0,1,0,10.0,3.0,9.0,3.0,4.0,3.0,16.0,1.0
116,13.4,29.0,1.225,0.5,Noah Darvich,Germany,MF,SV Elversberg,3 Lg,18,2007,29,29,2253,25.0,10,4,14,9,1,2,1,0,15.0,13.0,1.0,10.0,10.0,15.0,21.2,41.0
117,13.0,29.6,1.225,0.5,Justin Lerma,Ecuador,MF,Dortmund,ECU Serie A,18,2008,26,15,1588,13.7,2,1,3,2,0,0,0,0,15.0,13.0,1.0,10.0,10.0,15.0,32.3,24.0
118,12.8,25.8,1.025,0.7,Sima Suso,Germany,MF,Augsburg,2 Lg,21,2005,24,17,1473,16.4,1,0,1,1,0,0,4,1,18.0,19.0,1.0,32.0,11.0,23.0,36.2,15.0
119,12.6,24.3,0.975,0.7,Santiago Castañeda,United States,MF,Paderborn,2 Lg,22,2004,31,27,2158,24.0,0,0,0,0,0,0,5,0,30.0,30.0,0.0,4.0,27.0,27.0,41.7,15.0
120,12.5,21.5,1.3,0.7,Kennet Eichhorn,Germany,MF,Leverkusen,2 Lg,17,2009,19,14,1141,12.7,2,0,1,1,0,0,7,1,21.0,15.0,0.0,0.0,21.0,15.0,22.5,6.0
121,12.1,32.5,1.0,0.7,Emil Højlund,Denmark,FW,Schalke 04,2 Lg,21,2005,4,1,104,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0
122,12.1,24.6,1.15,0.7,Luis Engelns,Germany,MF,Hoffenheim,2 Lg,19,2007,17,4,572,6.4,1,0,1,1,0,0,2,0,14.0,23.0,2.0,3.0,8.0,7.0,31.4,2.0
